"customer_id","average_rental_cost"
1,3.8233333333333333
2,4.7592307692307692
3,5.4483333333333333
4,3.7172727272727273
5,3.8471428571428571
6,3.3900000000000000
7,4.6685714285714286
8,3.7291304347826087
9,3.9400000000000000
10,3.9483333333333333
11,4.3378260869565217
12,3.6053846153846154
13,4.8788888888888889
14,4.2073913043478261
15,4.2087500000000000
16,4.3900000000000000
17,4.8788888888888889
18,4.1478947368421053
19,5.4900000000000000
20,3.8418518518518519
21,4.5837500000000000
22,4.9900000000000000
23,3.9529629629629630
24,3.7291304347826087
25,3.8788888888888889
26,4.5837500000000000
27,4.1233333333333333
28,3.5233333333333333
29,3.9614285714285714
30,3.6370588235294118
31,4.0284615384615385
32,4.3361538461538462
33,4.4400000000000000
34,3.7400000000000000
35,3.9566666666666667
36,3.6300000000000000
37,4.3709523809523810
38,3.7547058823529412
39,4.8865517241379310
40,4.0669230769230769
41,4.7500000000000000
42,3.8520689655172414
43,4.0809090909090909
44,4.8471428571428571
45,4.7976923076923077
46,4.2480645161290323
47,4.8847368421052632
48,4.8471428571428571
49,4.8650000000000000
50,4.8233333333333333
51,4.1233333333333333
52,3.8114285714285714
53,3.6983333333333333
54,4.4130769230769231
55,4.4636842105263158
56,4.4515384615384615
57,3.8361538461538462
58,4.4066666666666667
59,4.9900000000000000
60,4.0354545454545455
61,4.4515384615384615
62,3.7519047619047619
63,4.5100000000000000
64,3.0566666666666667
65,4.8900000000000000
66,4.2324242424242424
67,4.3400000000000000
68,4.3081818181818182
69,3.9030434782608696
70,4.4605882352941176
71,4.1685714285714286
72,3.2862962962962963
73,4.0809090909090909
74,3.7207692307692308
75,3.8361538461538462
76,3.5614285714285714
77,3.7291304347826087
78,4.5706451612903226
79,3.8847368421052632
80,4.5900000000000000
81,4.4185714285714286
82,4.9483333333333333
83,4.3990909090909091
84,4.2900000000000000
85,3.4661904761904762
86,4.5837500000000000
87,4.9185714285714286
88,4.2400000000000000
89,4.3003448275862069
90,3.9542857142857143
91,3.1664705882352941
92,4.7207692307692308
93,3.8400000000000000
94,3.7794736842105263
95,4.2841176470588235
96,3.9159259259259259
97,3.2677777777777778
98,4.2816666666666667
99,3.9465217391304348
100,4.4247826086956522
101,3.7726086956521739
102,4.3233333333333333
103,4.4382758620689655
104,3.5354545454545455
105,4.2627272727272727
106,4.5614285714285714
107,4.0971428571428571
108,4.5257142857142857
109,4.2005263157894737
110,4.1566666666666667
111,3.7900000000000000
112,4.6328571428571429
113,4.1381481481481481
114,4.2233333333333333
115,3.2122222222222222
116,4.1053846153846154
117,4.1076470588235294
118,3.8400000000000000
119,4.5061290322580645
120,4.4900000000000000
121,4.1900000000000000
122,4.0233333333333333
123,4.2508695652173913
124,4.1328571428571429
125,4.2480645161290323
126,4.1100000000000000
127,4.8081818181818182
128,3.9566666666666667
129,3.6664705882352941
130,3.9900000000000000
131,4.1751851851851852
132,3.4185714285714286
133,3.5500000000000000
134,4.0952631578947368
135,3.5971428571428571
136,4.2757142857142857
137,5.0426315789473684
138,3.3337500000000000
139,4.2122222222222222
140,4.6566666666666667
141,4.1190322580645161
142,3.2508695652173913
143,4.1900000000000000
144,4.7400000000000000
145,3.9900000000000000
146,4.6937037037037037
147,3.9275000000000000
148,4.7011111111111111
149,4.6700000000000000
150,4.3081818181818182
151,3.2700000000000000
152,3.8847368421052632
153,3.9483333333333333
154,4.1011111111111111
155,4.4483333333333333
156,3.9030434782608696
157,3.7141379310344828
158,3.8566666666666667
159,3.4605882352941176
160,3.9529629629629630
161,3.9483333333333333
162,3.5194117647058824
163,4.2313793103448276
164,4.3233333333333333
165,4.0900000000000000
166,4.5085185185185185
167,3.7486206896551724
168,4.0525000000000000
169,4.3400000000000000
170,4.7726086956521739
171,4.1900000000000000
172,4.4566666666666667
